"profil","author_id","rok","n_publikacji","n_punktowane","suma_pkt","capped"
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2023,4,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2024,4,4,340,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2025,6,3,300,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2026,1,1,100,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",1999,2,1,1,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2000,6,1,4,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2001,8,4,16,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2002,14,7,24,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2003,5,3,11,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2004,2,1,4,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2005,3,1,4,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2006,7,3,12,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2007,11,7,60,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2008,12,5,63,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2009,14,4,102,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2010,7,3,96,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2011,19,7,63,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2012,11,1,40,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2013,16,5,153,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2014,18,4,200,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2015,13,6,240,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2016,8,4,113,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2017,14,8,255,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2018,8,8,265,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2019,13,12,1370,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2020,11,11,1090,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2021,10,10,740,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2022,11,3,380,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2023,8,6,760,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2024,8,4,460,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2025,5,5,470,FALSE
"Adam Figiel","UPWree0b8b35b4de42a7927b86affce451ad",2026,3,3,380,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1991,1,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1992,4,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1993,1,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1994,11,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1995,4,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1996,14,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1997,6,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1998,10,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",1999,9,1,1,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2000,10,4,6,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2001,13,4,4,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2002,19,5,7,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2003,11,3,12,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2004,27,8,38,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2005,14,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2006,15,1,3,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2007,13,3,11,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2008,11,1,20,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2009,13,8,77,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2010,12,5,22,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2011,10,6,75,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2012,2,1,20,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2013,5,2,10,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2014,3,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2015,10,3,30,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2016,1,1,25,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2017,4,3,100,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2019,1,1,80,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2021,1,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2022,1,1,100,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2023,2,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2024,1,0,0,FALSE
"Adam Szewczuk","UPWr866ca5a9b4f8466eaf1f3bb888ffe767",2025,2,0,0,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2010,1,1,12,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2013,1,1,15,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2014,1,0,0,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2015,8,1,9,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2016,2,1,12,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2017,6,0,0,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2018,8,0,0,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2019,17,0,0,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2020,5,4,180,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2021,2,2,140,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2022,7,3,240,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2023,3,2,340,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2024,9,3,350,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2025,4,3,280,FALSE
"Agata Kaczmarek","UPWr68d0ac379a914885ad1de2dafa3b2f50",2026,1,0,0,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2013,4,0,0,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2014,4,0,0,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2015,7,2,28,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2017,4,3,55,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2021,1,0,0,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2022,6,0,0,FALSE
"Agnieszka Balbierz","UPWrbd409b0eccde49beadf29785fa644366",2024,1,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",1998,4,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",1999,4,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2000,1,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2001,1,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2002,1,1,1,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2003,1,1,4,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2004,1,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2005,3,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2006,5,3,9,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2007,2,2,8,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2008,1,1,6,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2009,2,1,6,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2010,3,1,6,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2011,8,0,0,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2012,4,3,15,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2013,2,2,24,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2014,8,4,27,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2015,11,2,16,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2016,9,4,57,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2017,7,3,55,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2018,4,2,60,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2019,7,1,100,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2020,7,4,450,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2021,2,2,200,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2022,9,3,270,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2023,16,6,335,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2024,5,5,540,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2025,2,2,200,FALSE
"Agnieszka Dradrach","UPWr8f572debb4d74e9b8b1c5ea2adf10f0e",2026,2,2,170,FALSE
"Agnieszka Falkiewicz","UPWrf83e593d59be47489cc3433f1cb4eca2",2022,2,1,100,FALSE
"Agnieszka Falkiewicz","UPWrf83e593d59be47489cc3433f1cb4eca2",2023,2,0,0,FALSE
"Agnieszka Falkiewicz","UPWrf83e593d59be47489cc3433f1cb4eca2",2025,1,1,100,FALSE
"Agnieszka Falkiewicz","UPWrf83e593d59be47489cc3433f1cb4eca2",2026,1,1,100,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2011,5,3,9,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2012,6,4,20,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2013,5,3,40,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2014,8,3,40,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2015,8,4,54,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2016,4,4,54,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2017,7,1,12,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2018,1,1,20,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2019,3,1,100,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2020,1,1,70,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2022,6,2,140,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2023,7,1,5,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2024,7,2,180,FALSE
"Agnieszka Lejman","UPWrb9758404ca594e0fa7f5e75dbe043932",2025,3,1,100,FALSE
"Agnieszka Łącka","UPWr1b75bbcfb67d40a68cce309cbb812e77",2017,1,0,0,FALSE
"Agnieszka Łącka","UPWr1b75bbcfb67d40a68cce309cbb812e77",2018,3,3,32,FALSE
"Agnieszka Łącka","UPWr1b75bbcfb67d40a68cce309cbb812e77",2019,3,3,110,FALSE
"Agnieszka Łącka","UPWr1b75bbcfb67d40a68cce309cbb812e77",2021,1,1,40,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2007,3,1,6,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2008,5,1,6,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2009,1,1,9,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2010,6,4,32,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2011,6,0,0,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2012,3,1,15,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2013,9,2,30,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2014,3,1,30,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2015,20,1,25,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2016,10,2,44,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2017,18,2,25,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2018,9,1,30,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2019,17,4,275,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2020,9,9,860,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2021,4,4,410,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2022,8,5,460,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2023,10,5,540,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2024,5,3,280,FALSE
"Agnieszka Medyńska-Juraszek","UPWrb9f6b3165ca644198a581291d02c6b36",2025,3,3,380,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2008,1,1,6,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2009,3,3,15,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2011,4,3,15,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2013,1,0,0,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2014,1,1,11,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2016,1,0,0,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2017,2,2,24,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2018,1,0,0,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2019,6,1,70,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2020,1,1,70,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2021,1,1,100,FALSE
"Aldona Płaczek","UPWr560effd97a3a441693a1cc28dc8cdd0d",2022,1,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",1999,4,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2000,7,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2001,7,5,12,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2002,3,1,2,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2004,2,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2005,2,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2007,5,0,0,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2008,4,2,10,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2009,6,1,6,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2010,8,7,42,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2011,7,3,15,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2013,7,5,45,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2014,5,1,5,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2015,11,3,27,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2016,5,4,30,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2017,4,1,20,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2018,2,2,25,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2019,2,2,40,FALSE
"Aleksander Krzyś","UPWrdc45c1f5d1784661a607951b32c5031a",2021,1,1,140,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",1996,1,0,0,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",1997,2,0,0,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",1998,6,0,0,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2001,5,3,16,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2002,2,1,12,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2003,2,2,15,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2004,2,1,12,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2005,8,4,37,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2006,3,3,14,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2007,1,1,6,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2008,2,2,12,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2009,3,2,19,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2010,4,2,12,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2011,7,5,51,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2012,4,4,79,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2013,4,1,20,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2014,5,3,85,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2015,14,6,137,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2016,5,2,14,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2017,10,3,45,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2018,1,1,20,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2019,5,2,80,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2020,2,1,20,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2021,2,2,200,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2022,2,1,100,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2023,2,2,240,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2025,3,1,140,FALSE
"Aleksandra Halarewicz","UPWr9140757de3e84e7dae5172520abb03a6",2026,1,1,100,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2002,4,1,18,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2003,3,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2004,2,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2006,1,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2007,5,2,38,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2008,5,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2009,2,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2010,18,1,9,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2011,2,1,7,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2012,1,1,35,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2013,3,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2014,11,3,120,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2015,28,3,67,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2016,3,1,25,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2017,7,2,60,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2018,4,1,30,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2019,4,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2020,2,0,0,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2021,4,1,200,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2022,12,2,200,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2023,6,2,240,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2024,7,7,755,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2025,7,1,100,FALSE
"Andrzej Kocowicz","UPWra4d3d104943c48e89c938f80be92194d",2026,1,1,140,FALSE
"Anita Biesiada","UPWr49bb9cf6194e484e9840fabf523aeaa2",1990,5,0,0,FALSE
"Anita Biesiada","UPWr49bb9cf6194e484e9840fabf523aeaa2",1991,5,0,0,FALSE
