profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Aleksandra Halarewicz,prof. dr hab. inż.,profesor,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-5756-4462,,,,8.0,9.0,45.1,20.309,1486.0,108.0,UPWr9140757de3e84e7dae5172520abb03a6,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9140757de3e84e7dae5172520abb03a6?lang=pl&r=publication&tab=main,
Waldemar Helios,dr hab. inż.,profesor Uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-8179-2916,,,,7.0,7.0,51.575,17.869,1924.0,55.0,UPWr64ae1fdb56774e13b942fbe6d848ab83,https://bazawiedzy.upwr.edu.pl/info/author/UPWr64ae1fdb56774e13b942fbe6d848ab83?lang=pl&r=publication&tab=main,
Anna Jama-Rodzeńska,dr hab. inż.,profesor Uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-4864-7367,,,,11.0,11.0,119.312,39.925,4028.0,105.0,UPWr1485b8def0c44b76b116350f352666de,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1485b8def0c44b76b116350f352666de?lang=pl&r=publication&tab=main,
Elżbieta Jamroz,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0130-181X,,,,14.0,13.0,122.427,45.626,3799.0,224.0,UPWrff1cfbc9cb68405b8c59ee2da687abc5,https://bazawiedzy.upwr.edu.pl/info/author/UPWrff1cfbc9cb68405b8c59ee2da687abc5?lang=pl&r=publication&tab=main,
Anita Jandy,mgr,starszy specjalista,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,,,,,1.0,1.0,3.8,1.175,140.0,2.0,UPWr4d9b1a6e38e24c0d863dba7b7b0fca95,https://bazawiedzy.upwr.edu.pl/info/author/UPWr4d9b1a6e38e24c0d863dba7b7b0fca95?lang=pl&r=publication&tab=main,
Paweł Jezierski,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-7765-741X,,,,11.0,12.0,36.766,19.021,1197.0,114.0,UPWr792b34a7ea9248fe983312c2e80d8d96,https://bazawiedzy.upwr.edu.pl/info/author/UPWr792b34a7ea9248fe983312c2e80d8d96?lang=pl&r=publication&tab=main,
Szymon Jędrzejewski,dr,specjalista,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,,,,,2.0,2.0,18.4,5.535,540.0,8.0,UPWr1572a28e0e3b44e3b4ae3c71c4275cf2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1572a28e0e3b44e3b4ae3c71c4275cf2?lang=pl&r=publication&tab=main,
Marta Jurga-Zotow,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-4855-0066,,,,4.0,3.0,14.318,5.826,685.0,56.0,UPWr462109a45996410e9701355e018b924d,https://bazawiedzy.upwr.edu.pl/info/author/UPWr462109a45996410e9701355e018b924d?lang=pl&r=publication&tab=main,
Monika Jurzak,mgr inż.,kierownik stacji badawczo - dydaktycznej,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,,,,,,,2.5,0.956,100.0,11.0,UPWRd08023f298a243ec8ddfbf004720bda0,https://bazawiedzy.upwr.edu.pl/info/author/UPWRd08023f298a243ec8ddfbf004720bda0?lang=pl&r=publication&tab=main,
Cezary Kabała,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-9796-3716,,,,31.0,31.0,221.701,110.351,6915.0,306.0,UPWr6dbdc7326bc44233b7889163e9913a13,https://bazawiedzy.upwr.edu.pl/info/author/UPWr6dbdc7326bc44233b7889163e9913a13?lang=pl&r=publication&tab=main,
Agata Kaczmarek,mgr inż.,starszy specjalista,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-1889-0537,,,,5.0,4.0,26.147,10.629,1578.0,75.0,UPWr68d0ac379a914885ad1de2dafa3b2f50,https://bazawiedzy.upwr.edu.pl/info/author/UPWr68d0ac379a914885ad1de2dafa3b2f50?lang=pl&r=publication&tab=main,
Waldemar Kamaj,,laborant,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,,,,,,,,,,,UPWr971cd134a9964c38a2155c9d2d414190,https://bazawiedzy.upwr.edu.pl/info/author/UPWr971cd134a9964c38a2155c9d2d414190?lang=pl&r=publication&tab=main,
Anna Karczewska,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-1457-1368,,,,24.0,23.0,140.831,61.891,3672.0,296.0,UPWr78599776ae6844018c22307835928c76,https://bazawiedzy.upwr.edu.pl/info/author/UPWr78599776ae6844018c22307835928c76?lang=pl&r=publication&tab=main,
Małgorzata Karolczak,mgr inż.,starszy specjalista,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,,,,,,,,,,,UPWrd5f2039a470f449bb6f8e7fd36aeb6be,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd5f2039a470f449bb6f8e7fd36aeb6be?lang=pl&r=publication&tab=main,
Krzysztof Kawa,mgr inż.,starszy specjalista,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0003-1018-7617,,,,2.0,1.0,3.304,2.012,480.0,14.0,UPWr4feaa6d0c420487f962c844c648065b3,https://bazawiedzy.upwr.edu.pl/info/author/UPWr4feaa6d0c420487f962c844c648065b3?lang=pl&r=publication&tab=main,
Dorota Kawałko,dr hab. inż.,profesor Uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-8339-648X,,,,9.0,9.0,63.19,27.794,2234.0,177.0,UPWre49a6b0e5b3b4e7693dd135b88d603ae,https://bazawiedzy.upwr.edu.pl/info/author/UPWre49a6b0e5b3b4e7693dd135b88d603ae?lang=pl&r=publication&tab=main,
Anna Kmieć,mgr inż.,specjalista,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,,,,,2.0,2.0,11.7,3.23,380.0,4.0,UPWr6a8fbdd03f2e4ca1beb5df91367a94b1,https://bazawiedzy.upwr.edu.pl/info/author/UPWr6a8fbdd03f2e4ca1beb5df91367a94b1?lang=pl&r=publication&tab=main,
Andrzej Kocowicz,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-0958-3543,,,,10.0,10.0,72.289,27.915,2044.0,142.0,UPWra4d3d104943c48e89c938f80be92194d,https://bazawiedzy.upwr.edu.pl/info/author/UPWra4d3d104943c48e89c938f80be92194d?lang=pl&r=publication&tab=main,
Piotr Komarnicki,dr hab. inż.,profesor Uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3930-9502,,,,12.0,11.0,63.468,32.012,1937.0,69.0,UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6,https://bazawiedzy.upwr.edu.pl/info/author/UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6?lang=pl&r=publication&tab=main,
Kamil Kostyn,dr,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0003-3485-0938,,,,16.0,16.0,105.179,39.942,2129.0,51.0,UPWrdd797a5df73144e2a23d7b5e6e9015e9,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdd797a5df73144e2a23d7b5e6e9015e9?lang=pl&r=publication&tab=main,
Bogna Kosyk,dr inż.,główny specjalista,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4016-0503,,,,3.0,3.0,13.72,3.616,420.0,6.0,UPWr1090aeda1bb94fd18b363acddf7a014b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1090aeda1bb94fd18b363acddf7a014b?lang=pl&r=publication&tab=main,
Anna Koszelnik-Leszek,dr inż.,adiunkt,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-5929-9372,,,,5.0,4.0,18.652,9.384,1028.0,70.0,UPWr752e020e13c9452ea228d3705b04a762,https://bazawiedzy.upwr.edu.pl/info/author/UPWr752e020e13c9452ea228d3705b04a762?lang=pl&r=publication&tab=main,
Mirosław Kościelecki,mgr,starszy specjalista,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,,,,,,,,,,,UPWrcd26cf0be64648ea8a38563865a99cb8,https://bazawiedzy.upwr.edu.pl/info/author/UPWrcd26cf0be64648ea8a38563865a99cb8?lang=pl&r=publication&tab=main,
Joanna Kowalska,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4086-5696,,,,11.0,12.0,71.442,27.285,1862.0,27.0,UPWr026bf5e53b2841c18c4957a5d2852761,https://bazawiedzy.upwr.edu.pl/info/author/UPWr026bf5e53b2841c18c4957a5d2852761?lang=pl&r=publication&tab=main,
Bartosz Kozak,dr inż.,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-6472-3273,,,,12.0,12.0,101.818,34.286,2841.0,98.0,UPWr2d626d1caad44522af72cc6e6bba8ff4,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2d626d1caad44522af72cc6e6bba8ff4?lang=pl&r=publication&tab=main,
Marcin Kozak,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-0715-6844,,,,12.0,10.0,92.291,33.662,4055.0,181.0,UPWr613908909420433ea818a45f46bb14dc,https://bazawiedzy.upwr.edu.pl/info/author/UPWr613908909420433ea818a45f46bb14dc?lang=pl&r=publication&tab=main,
Magdalena Kręcisz,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-5518-3906,,,,5.0,8.0,53.3,16.596,1732.0,25.0,UPWre07ae282563d4e45a679b70eee9a6f6c,https://bazawiedzy.upwr.edu.pl/info/author/UPWre07ae282563d4e45a679b70eee9a6f6c?lang=pl&r=publication&tab=main,
Jan Krężel,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-6582-5535,,,,3.0,3.0,8.44,3.409,466.0,39.0,UPWr3a4f60d7b84f4143a3ca26a8ed034e31,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3a4f60d7b84f4143a3ca26a8ed034e31?lang=pl&r=publication&tab=main,
Mateusz Krupski,dr,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-7992-967X,,,,6.0,5.0,28.045,12.226,1405.0,15.0,UPWrc29c25e7df06493083f806298a9f8441,https://bazawiedzy.upwr.edu.pl/info/author/UPWrc29c25e7df06493083f806298a9f8441?lang=pl&r=publication&tab=main,
Aleksander Krzyś,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-6362-9015,,,,1.0,1.0,7.077,2.159,1169.0,91.0,UPWrdc45c1f5d1784661a607951b32c5031a,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdc45c1f5d1784661a607951b32c5031a?lang=pl&r=publication&tab=main,
Zofia Kubińska,,laborant,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,,,,,1.0,1.0,3.7,1.14,140.0,1.0,UPWr1dde91ea757949ee938c47e33534da08,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1dde91ea757949ee938c47e33534da08?lang=pl&r=publication&tab=main,
Piotr Kuc,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-0258-9977,,,,4.0,4.0,14.798,5.15,689.0,40.0,UPWr9bbe3b4cb417470d994beecaad2e133f,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9bbe3b4cb417470d994beecaad2e133f?lang=pl&r=publication&tab=main,
Grzegorz Kulczycki,dr hab. inż.,profesor Uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-3411-6661,,,,9.0,9.0,77.37,22.953,2102.0,127.0,UPWrd4f55f16c2c5421d9c5ce5e6d17345b7,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd4f55f16c2c5421d9c5ce5e6d17345b7?lang=pl&r=publication&tab=main,
Krzysztof Lech,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-6540-5274,,,,31.0,31.0,219.49,82.735,5038.0,141.0,UPWr7cc3e4a9190645b7b2a2ff928878258c,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7cc3e4a9190645b7b2a2ff928878258c?lang=pl&r=publication&tab=main,
Anna Lehmann-Skoczylas,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5267-1939,,,,1.0,1.0,1.225,1.064,143.0,63.0,UPWr97424464a6f146b08363a4f7084c65ea,https://bazawiedzy.upwr.edu.pl/info/author/UPWr97424464a6f146b08363a4f7084c65ea?lang=pl&r=publication&tab=main,
