profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw
Beata Fornal-Pieniak,dr hab.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0002-3834-1105,NA,NA,NA,8,7,90.361,13.885,NA,159,WULS358f2d8653f14320a5c27fadbdcc0d17,https://bw.sggw.edu.pl/info/author/WULS358f2d8653f14320a5c27fadbdcc0d17?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Janina Gajc-Wolska,prof. dr hab.,profesor,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-4237-5575,NA,NA,NA,12,11,87.733,34.748,NA,83,WULS6bccb735e7a442d6a7b656f44613d95a,https://bw.sggw.edu.pl/info/author/WULS6bccb735e7a442d6a7b656f44613d95a?lang=pl&r=publication&tab=main,sggw,Profesor
Marta Galas,mgr,asystent,Katedra Biochemii i Mikrobiologii,NA,0009-0009-5235-6782,NA,NA,NA,1,1,17.4,0.15,NA,5,WULS36fc214444b042ca8e3a7a13a26a4b45,https://bw.sggw.edu.pl/info/author/WULS36fc214444b042ca8e3a7a13a26a4b45?lang=pl&r=publication&tab=main,sggw,Asystent
Anna Geszprych,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-0102-7136,NA,NA,NA,6,5,32.36,9.441,NA,39,WULS44a8b19c422d44dab414bf7723f36b01,https://bw.sggw.edu.pl/info/author/WULS44a8b19c422d44dab414bf7723f36b01?lang=pl&r=publication&tab=main,sggw,Adiunkt
Dariusz Gozdowski,dr hab.,profesor uczelni,Katedra Biometrii,NA,0000-0002-7365-7607,NA,NA,NA,27,27,444.035,167.182,NA,364,WULSb596f99579674796875882b291d31364,https://bw.sggw.edu.pl/info/author/WULSb596f99579674796875882b291d31364?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Mirosława Górecka,dr inż.,asystent,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-5625-928X,NA,NA,NA,5,5,29.838,6.019,NA,16,WULS54cf2501d7134ce8beaa187f13c50c0d,https://bw.sggw.edu.pl/info/author/WULS54cf2501d7134ce8beaa187f13c50c0d?lang=pl&r=publication&tab=main,sggw,Asystent
Marzena Iwańska,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0003-2894-2596,NA,NA,NA,4,4,23.077,6.031,NA,21,WULSbc0e2072e0cc427a9478ca52c536eb9d,https://bw.sggw.edu.pl/info/author/WULSbc0e2072e0cc427a9478ca52c536eb9d?lang=pl&r=publication&tab=main,sggw,Adiunkt
Sławomir Janakowski,dr inż.,adiunkt,Katedra Botaniki i Fizjologii Roslin,NA,0000-0002-6196-6752,NA,NA,NA,5,7,42.814,9.344,NA,16,WULSfd0438e338c34e3dbc4fe4db6de886e9,https://bw.sggw.edu.pl/info/author/WULSfd0438e338c34e3dbc4fe4db6de886e9?lang=pl&r=publication&tab=main,sggw,Adiunkt
Maria Janicka,dr hab. inż.,adiunkt,Katedra Agronomii,NA,0000-0002-4417-5473,NA,NA,NA,5,6,32.388,10.955,NA,60,WULS5f582277739e4a87a285ce12fa630573,https://bw.sggw.edu.pl/info/author/WULS5f582277739e4a87a285ce12fa630573?lang=pl&r=publication&tab=main,sggw,Adiunkt
Paweł Jankowski,dr,adiunkt,Katedra Systemów Informatycznych,NA,0000-0002-3176-8798,NA,NA,NA,11,11,72.555,24.453,NA,42,WULSe09cc37984484151998eb461423ae1a9,https://bw.sggw.edu.pl/info/author/WULSe09cc37984484151998eb461423ae1a9?lang=pl&r=publication&tab=main,sggw,Adiunkt
Agata Jędrzejuk,dr hab.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0001-6258-0598,NA,NA,NA,12,12,73.928,26.213,NA,76,WULS2142a677ab9545b7bce43f8f9cbf8ead,https://bw.sggw.edu.pl/info/author/WULS2142a677ab9545b7bce43f8f9cbf8ead?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Jerzy Jonczak,dr hab.,profesor uczelni,Katedra Gleboznawstwa,NA,0000-0002-9577-5292,NA,NA,NA,16,15,183.193,52.977,NA,151,WULSa41d7cc83cc44fe2b8bb154b6089f19a,https://bw.sggw.edu.pl/info/author/WULSa41d7cc83cc44fe2b8bb154b6089f19a?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Ksenia Juszczak-Szelągowska,dr,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0001-8929-8883,NA,NA,NA,NA,1,3.3,1.27,NA,18,WULS854d1a8a5c474e718da6e2323d891959,https://bw.sggw.edu.pl/info/author/WULS854d1a8a5c474e718da6e2323d891959?lang=pl&r=publication&tab=main,sggw,Adiunkt
Danuta Kaczorek,dr hab.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-7053-6084,NA,NA,NA,18,19,104.722,31.407,NA,37,WULS03d0d449a1564355be2b00355c9e963c,https://bw.sggw.edu.pl/info/author/WULS03d0d449a1564355be2b00355c9e963c?lang=pl&r=publication&tab=main,sggw,Adiunkt
Filip Kamionowski,mgr inż.,asystent,Katedra Ochrony Środowiska i Dendrologii,NA,0009-0000-1728-4618,NA,NA,NA,2,2,9.5,0.884,NA,6,WULS6d14d2728bf4400e959193e9698bee77,https://bw.sggw.edu.pl/info/author/WULS6d14d2728bf4400e959193e9698bee77?lang=pl&r=publication&tab=main,sggw,Asystent
Zbigniew Karaczun,dr hab. inż.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0001-6971-275X,NA,NA,NA,4,4,23.742,7.206,NA,92,WULSaecb2c76e1bd467e97ea9ceeeda5f0bd,https://bw.sggw.edu.pl/info/author/WULSaecb2c76e1bd467e97ea9ceeeda5f0bd?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Małgorzata Kiełkiewicz-Szaniawska,prof. dr hab.,profesor,Katedra Ochrony Roślin,NA,0000-0002-1170-9870,NA,NA,NA,8,9,35.498,18.106,NA,43,WULSa917582428b94d5a995586470d9da84f,https://bw.sggw.edu.pl/info/author/WULSa917582428b94d5a995586470d9da84f?lang=pl&r=publication&tab=main,sggw,Profesor
Marek Kondras,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-1987-7983,NA,NA,NA,7,7,38.414,11.649,NA,33,WULS4b7bab18e6564ae8baf03ab4d979ad6d,https://bw.sggw.edu.pl/info/author/WULS4b7bab18e6564ae8baf03ab4d979ad6d?lang=pl&r=publication&tab=main,sggw,Adiunkt
Olga Kosakowska,dr hab.,profesor uczelni,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0001-7376-3277,NA,NA,NA,16,18,107.508,24.562,NA,70,WULSa3412283e3e94cf6ae0930cd0070ffe9,https://bw.sggw.edu.pl/info/author/WULSa3412283e3e94cf6ae0930cd0070ffe9?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Katarzyna Kowalczyk,dr hab. inż.,profesor uczelni,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0001-5282-7331,NA,NA,NA,12,12,84.583,36.927,NA,93,WULSccceba6db29f417193524413e7546bfe,https://bw.sggw.edu.pl/info/author/WULSccceba6db29f417193524413e7546bfe?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Wojciech Kowalczyk,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3671-9266,NA,NA,NA,2,4,15.826,5.453,NA,37,WULSb0875354e678475a850786b13535c5b5,https://bw.sggw.edu.pl/info/author/WULSb0875354e678475a850786b13535c5b5?lang=pl&r=publication&tab=main,sggw,Adiunkt
Edmund Kozieł,dr,adiunkt,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-6646-1254,NA,NA,NA,13,13,117.667,18.122,NA,32,WULS9aab55eb07c7443c883b67a669e311fb,https://bw.sggw.edu.pl/info/author/WULS9aab55eb07c7443c883b67a669e311fb?lang=pl&r=publication&tab=main,sggw,Adiunkt
Bogusława Kruczkowska,dr hab.,adiunkt,Katedra Gleboznawstwa,NA,0000-0003-0764-9884,NA,NA,NA,8,9,99.891,23.544,NA,39,WULSdf90d7b58cab49f1b18a6c9fe845dd9b,https://bw.sggw.edu.pl/info/author/WULSdf90d7b58cab49f1b18a6c9fe845dd9b?lang=pl&r=publication&tab=main,sggw,Adiunkt
Tomasz Krupa,dr hab. inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-2252-250X,NA,NA,NA,12,11,81.805,26.706,NA,147,WULS4ebfaf0d6a6d4063980a80d2463656f1,https://bw.sggw.edu.pl/info/author/WULS4ebfaf0d6a6d4063980a80d2463656f1?lang=pl&r=publication&tab=main,sggw,Adiunkt
Natalia Kuźma,dr inż.,adiunkt,Katedra Ochrony Środowiska i Dendrologii,NA,NA,NA,NA,NA,2,2,20.363,1.8,NA,10,WULS74a9cc0470c742f8be109b73502c0e2b,https://bw.sggw.edu.pl/info/author/WULS74a9cc0470c742f8be109b73502c0e2b?lang=pl&r=publication&tab=main,sggw,Adiunkt
Wojciech Kwasowski,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0003-1448-2445,NA,NA,NA,11,12,61.852,21.309,NA,63,WULSc2ded684f2904da7ba9e49bb36851369,https://bw.sggw.edu.pl/info/author/WULSc2ded684f2904da7ba9e49bb36851369?lang=pl&r=publication&tab=main,sggw,Adiunkt
Piotr Latocha,prof. dr hab. inż.,profesor,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0002-6282-7340,NA,NA,NA,20,20,173.619,37.726,NA,225,WULS06b45116aede48e79f64236855d3ac96,https://bw.sggw.edu.pl/info/author/WULS06b45116aede48e79f64236855d3ac96?lang=pl&r=publication&tab=main,sggw,Profesor
Renata Leszczyńska,mgr inż.,asystent,Katedra Agronomii,NA,NA,NA,NA,NA,1,2,8.7,NA,NA,5,WULS4881e40b870247a88592ed8ca6bf04c9,https://bw.sggw.edu.pl/info/author/WULS4881e40b870247a88592ed8ca6bf04c9?lang=pl&r=publication&tab=main,sggw,Asystent
Mariusz Lewandowski,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0001-5360-0382,NA,NA,NA,13,12,143.298,38.471,NA,100,WULSfd14c9eadfd34eff8b845519595e336e,https://bw.sggw.edu.pl/info/author/WULSfd14c9eadfd34eff8b845519595e336e?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Barbara Łata,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0001-7128-7377,NA,NA,NA,14,12,63.781,26.16,NA,57,WULS0413359299e54c6c8dd5554d57a08407,https://bw.sggw.edu.pl/info/author/WULS0413359299e54c6c8dd5554d57a08407?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Maria Małachowska,mgr inż.,asystent,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3341-8601,NA,NA,NA,6,6,27.874,7.155,NA,9,WULSae3b3074473d45d685aaff9ab389f6bc,https://bw.sggw.edu.pl/info/author/WULSae3b3074473d45d685aaff9ab389f6bc?lang=pl&r=publication&tab=main,sggw,Asystent
Przemysław Marciniak,dr inż.,adiunkt,Instytut Nauk Ogrodniczych,NA,0000-0002-4641-4095,NA,NA,NA,NA,4,24.383,2.741,NA,9,WULS18e61211d7844d7db06af5e5ff72b26c,https://bw.sggw.edu.pl/info/author/WULS18e61211d7844d7db06af5e5ff72b26c?lang=pl&r=publication&tab=main,sggw,Adiunkt
Grażyna Mastalerczuk,dr inż.,adiunkt,Katedra Agronomii,NA,0000-0002-8267-5460,NA,NA,NA,9,10,48.441,14.722,NA,49,WULS5c3477a0411347578f602abf91bb8651,https://bw.sggw.edu.pl/info/author/WULS5c3477a0411347578f602abf91bb8651?lang=pl&r=publication&tab=main,sggw,Adiunkt
Katarzyna Michalska,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0002-5136-7836,NA,NA,NA,5,6,42.816,10.162,NA,26,WULSe63ec1d0dec44fcab8af6120fc8d36c7,https://bw.sggw.edu.pl/info/author/WULSe63ec1d0dec44fcab8af6120fc8d36c7?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Beata Michalska-Klimczak,dr,adiunkt,Katedra Agronomii,NA,0000-0003-4992-4477,NA,NA,NA,4,5,30.052,8.514,NA,153,WULS9a9ab68e34314e03a4f5bef70fe492ba,https://bw.sggw.edu.pl/info/author/WULS9a9ab68e34314e03a4f5bef70fe492ba?lang=pl&r=publication&tab=main,sggw,Adiunkt
Małgorzata Mirgos,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-2940-7771,NA,NA,NA,7,7,47.235,12.984,NA,35,WULSe6b3845fee244fe7a0301c5cafe7ac59,https://bw.sggw.edu.pl/info/author/WULSe6b3845fee244fe7a0301c5cafe7ac59?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewa Mirzwa-Mróz,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0003-0537-0783,NA,NA,NA,6,6,57.75,13.221,NA,56,WULSc03e55d80e4343d69163a3b587bc3b41,https://bw.sggw.edu.pl/info/author/WULSc03e55d80e4343d69163a3b587bc3b41?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Marta Monder,dr hab. inż.,profesor uczelni,Instytut Nauk Ogrodniczych,NA,0000-0003-4775-5980,NA,NA,NA,3,3,25,3.57,NA,8,WULS51a9ffbeb16d4626b8485263456698ce,https://bw.sggw.edu.pl/info/author/WULS51a9ffbeb16d4626b8485263456698ce?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Hanna Moniuszko,dr,adiunkt,Centrum Badań Klimatu SGGW,NA,0000-0002-8711-2309,NA,NA,NA,10,10,106.418,12.651,NA,38,WULS26857880579146908cdd9f2ad46fd970,https://bw.sggw.edu.pl/info/author/WULS26857880579146908cdd9f2ad46fd970?lang=pl&r=publication&tab=main,sggw,Adiunkt
Adam Nawrocki,mgr inż.,asystent,Katedra Biometrii,NA,0000-0003-4419-4479,NA,NA,NA,3,3,21.4,1.682,NA,5,WULS833a138a947a48058afdb43cf73f5e6f,https://bw.sggw.edu.pl/info/author/WULS833a138a947a48058afdb43cf73f5e6f?lang=pl&r=publication&tab=main,sggw,Asystent
Tomasz Niedziński,dr inż.,adiunkt,Instytut Rolnictwa,NA,NA,NA,NA,NA,2,5,34.834,2.974,NA,12,WULS919979567147419896830ce5c6ea6171,https://bw.sggw.edu.pl/info/author/WULS919979567147419896830ce5c6ea6171?lang=pl&r=publication&tab=main,sggw,Adiunkt
Kinga Noras,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-5493-2650,NA,NA,NA,4,5,16.737,5.484,NA,14,WULSbd9c97f08f524ace8c750f1e33470f4d,https://bw.sggw.edu.pl/info/author/WULSbd9c97f08f524ace8c750f1e33470f4d?lang=pl&r=publication&tab=main,sggw,Adiunkt
Małgorzata Nykiel,dr inż.,adiunkt,Katedra Biochemii i Mikrobiologii,NA,0000-0003-0688-1964,NA,NA,NA,13,11,81.418,16.116,NA,32,WULSb2c92cc69de74f0a92647afaf95bbf44,https://bw.sggw.edu.pl/info/author/WULSb2c92cc69de74f0a92647afaf95bbf44?lang=pl&r=publication&tab=main,sggw,Adiunkt
Lidia Oktaba,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-4937-9299,NA,NA,NA,9,10,58.312,19.753,NA,41,WULS50a5716e45e047e5b9fe83ceea9bdf00,https://bw.sggw.edu.pl/info/author/WULS50a5716e45e047e5b9fe83ceea9bdf00?lang=pl&r=publication&tab=main,sggw,Adiunkt
Dawid Olewnicki,dr hab. inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3096-3882,NA,NA,NA,6,4,28.791,3.047,NA,94,WULSd22895bd09124ce38fc5c71a69e78567,https://bw.sggw.edu.pl/info/author/WULSd22895bd09124ce38fc5c71a69e78567?lang=pl&r=publication&tab=main,sggw,Adiunkt
Marcin Ollik,dr,adiunkt,Katedra Biometrii,NA,0000-0001-8861-803X,NA,NA,NA,8,7,50.162,15.891,NA,28,WULS938a08fde23e421899eb8e8b1fb22af6,https://bw.sggw.edu.pl/info/author/WULS938a08fde23e421899eb8e8b1fb22af6?lang=pl&r=publication&tab=main,sggw,Adiunkt
Sławomir Orzechowski,dr hab. inż.,adiunkt,Katedra Biochemii i Mikrobiologii,Wydział Rolnictwa studia doktoranckie: 1996-2000 specjalizacja Agrobiologia przy Wydziale Rolnictwa SGGW stopień doktora 08.03.2000 Doktor Nauk Bio,0000-0002-3370-6910,NA,NA,NA,15,15,92.68,22.581,NA,42,WULScf67ac73ae79450d9beeb73cf0ac217f,https://bw.sggw.edu.pl/info/author/WULScf67ac73ae79450d9beeb73cf0ac217f?lang=pl&r=publication&tab=main,sggw,Adiunkt
Aleksandra Orzeszko-Rywka,dr inż.,asystent,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-5968-023X,NA,NA,NA,5,4,5.33,2.281,NA,40,WULS5461e163bf424cca8173f50e081c643c,https://bw.sggw.edu.pl/info/author/WULS5461e163bf424cca8173f50e081c643c?lang=pl&r=publication&tab=main,sggw,Asystent
Andrzej Pacholczak,dr hab.,profesor uczelni,Instytut Nauk Ogrodniczych,NA,0000-0001-5830-1859,NA,NA,NA,10,13,63.969,23.149,NA,136,WULSb410ecc41e3b4e77bf7e08b70b8b2cdc,https://bw.sggw.edu.pl/info/author/WULSb410ecc41e3b4e77bf7e08b70b8b2cdc?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Jakub Paderewski,dr hab.,adiunkt,Katedra Biometrii,NA,0000-0003-3957-7467,NA,NA,NA,10,8,70.261,29.381,NA,53,WULS16af177a9a074e60840ffff3c2c7ec02,https://bw.sggw.edu.pl/info/author/WULS16af177a9a074e60840ffff3c2c7ec02?lang=pl&r=publication&tab=main,sggw,Adiunkt
Elżbieta Paduch-Cichal,prof. dr hab. inż.,profesor,Katedra Ochrony Roślin,NA,0000-0002-2294-8148,NA,NA,NA,8,8,52.794,21.818,NA,86,WULS7a3dd5b63101497981904a7cc2d38d97,https://bw.sggw.edu.pl/info/author/WULS7a3dd5b63101497981904a7cc2d38d97?lang=pl&r=publication&tab=main,sggw,Profesor
Krzysztof Pągowski,dr inż.,asystent,Katedra Agronomii,NA,0000-0002-8174-4399,NA,NA,NA,1,1,3.4,NA,NA,5,WULS8deddba71f2345ea89c8da0a43ef273b,https://bw.sggw.edu.pl/info/author/WULS8deddba71f2345ea89c8da0a43ef273b?lang=pl&r=publication&tab=main,sggw,Asystent
Aneta Perzanowska,dr inż.,adiunkt,Katedra Agronomii,NA,0000-0003-3343-8095,NA,NA,NA,5,5,35.916,5.443,NA,19,WULS2b69a7704be843318548599a7b8f050e,https://bw.sggw.edu.pl/info/author/WULS2b69a7704be843318548599a7b8f050e?lang=pl&r=publication&tab=main,sggw,Adiunkt
Artur Pędziwiatr,dr,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-6253-4302,NA,NA,NA,11,11,111.029,17.899,NA,35,WULS4ef65001b1714215bffd20307ece3955,https://bw.sggw.edu.pl/info/author/WULS4ef65001b1714215bffd20307ece3955?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewelina Pióro-Jabrucka,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0002-8593-0906,NA,NA,NA,7,8,44.488,8.917,NA,81,WULS29c406a7ac8846ffb0ea5a1bad912441,https://bw.sggw.edu.pl/info/author/WULS29c406a7ac8846ffb0ea5a1bad912441?lang=pl&r=publication&tab=main,sggw,Adiunkt
Robert Popek,dr hab. inż.,profesor uczelni,Centrum Badań Klimatu SGGW,NA,0000-0001-6112-841X,NA,NA,NA,25,24,195.594,23.377,NA,63,WULS8c57b7839030409fbc1cfd3001ec6bad,https://bw.sggw.edu.pl/info/author/WULS8c57b7839030409fbc1cfd3001ec6bad?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Jarosław Przybył,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-0959-184X,NA,NA,NA,21,21,148.963,38.197,NA,140,WULS1b5f5849eb7746df93e914878f4c5332,https://bw.sggw.edu.pl/info/author/WULS1b5f5849eb7746df93e914878f4c5332?lang=pl&r=publication&tab=main,sggw,Adiunkt
Sebastian Przybyłko,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0003-2926-5937,NA,NA,NA,2,7,47.969,9.106,NA,49,WULSfe763190db7e406aa731b2e2f0638b76,https://bw.sggw.edu.pl/info/author/WULSfe763190db7e406aa731b2e2f0638b76?lang=pl&r=publication&tab=main,sggw,Adiunkt
Arkadiusz Przybysz,dr hab. inż.,profesor uczelni,Centrum Badań Klimatu SGGW,NA,0000-0002-1378-6546,NA,NA,NA,19,20,287.705,37.652,NA,86,WULSdba35cf18b574a57b96ce2ed1c2046e4,https://bw.sggw.edu.pl/info/author/WULSdba35cf18b574a57b96ce2ed1c2046e4?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Ewa Puchalska,dr,adiunkt,Katedra Ochrony Roślin,NA,0000-0001-6032-3571,NA,NA,NA,7,7,56.159,12.781,NA,30,WULS7d9f1699d3c24d448a372d2cae48c54e,https://bw.sggw.edu.pl/info/author/WULS7d9f1699d3c24d448a372d2cae48c54e?lang=pl&r=publication&tab=main,sggw,Adiunkt
Julita Rabiza-Świder,dr hab.,profesor uczelni,Instytut Nauk Ogrodniczych,Wydziału Ogrodniczego Samodzielny Zakład Roślin Ozdobnych Instytut Nauk Ogrodniczych,0000-0003-3599-0051,NA,NA,NA,11,12,77.065,24.857,NA,98,WULSb77da74b0e604fd9be3233b346ff64f3,https://bw.sggw.edu.pl/info/author/WULSb77da74b0e604fd9be3233b346ff64f3?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Michał Reut,dr inż.,adiunkt,Katedra Ochrony Roślin,NA,0000-0002-9259-7830,NA,NA,NA,4,5,28.2,7.511,NA,13,WULS2af8691a50ff4fa8a00ad2f709685c4b,https://bw.sggw.edu.pl/info/author/WULS2af8691a50ff4fa8a00ad2f709685c4b?lang=pl&r=publication&tab=main,sggw,Adiunkt
Edyta Rosłon-Szeryńska,dr hab.,adiunkt,Katedra Architektury Krajobrazu,NA,0000-0003-0191-7999,NA,NA,NA,3,2,4.751,3.137,NA,113,WULS3192f7645be14a16bb4e7586e2b6bff7,https://bw.sggw.edu.pl/info/author/WULS3192f7645be14a16bb4e7586e2b6bff7?lang=pl&r=publication&tab=main,sggw,Adiunkt
Beata Rustowska,dr,asystent,Katedra Gleboznawstwa,NA,0000-0001-9434-862X,NA,NA,NA,1,3,10.1,0.238,NA,6,WULS054a31344f93447cbe8bbff9476b6228,https://bw.sggw.edu.pl/info/author/WULS054a31344f93447cbe8bbff9476b6228?lang=pl&r=publication&tab=main,sggw,Asystent
Beata Rutkowska,prof. dr hab. inż.,profesor,Instytut Rolnictwa,NA,0000-0003-4563-0156,NA,NA,NA,16,17,170.74,51.977,NA,139,WULS7d63a5df20554db9b38e8170e77aaeca,https://bw.sggw.edu.pl/info/author/WULS7d63a5df20554db9b38e8170e77aaeca?lang=pl&r=publication&tab=main,sggw,Profesor
