profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw,if_per_pub,mein_per_pub,if_to_mein,n_pub_oa,mean_fwci,avg_authors_per_pub,h_index_oa,cited_total,n_unique_coauthors,fwci_top10_pct,kategoria
Dariusz Gozdowski,dr hab.,profesor uczelni,Katedra Biometrii,NA,0000-0002-7365-7607,NA,NA,NA,27,27,444.035,167.182,NA,364,WULSb596f99579674796875882b291d31364,https://bw.sggw.edu.pl/info/author/WULSb596f99579674796875882b291d31364?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.2198763736263738,NA,NA,1,0,4,0,0,3,FALSE,A
Mirosława Górecka,dr inż.,asystent,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-5625-928X,NA,NA,NA,5,5,29.838,6.019,NA,16,WULS54cf2501d7134ce8beaa187f13c50c0d,https://bw.sggw.edu.pl/info/author/WULS54cf2501d7134ce8beaa187f13c50c0d?lang=pl&r=publication&tab=main,sggw,Asystent,1.864875,NA,NA,20,2.079495,4.7,5,219,57,FALSE,A
Marzena Iwańska,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0003-2894-2596,NA,NA,NA,4,4,23.077,6.031,NA,21,WULSbc0e2072e0cc427a9478ca52c536eb9d,https://bw.sggw.edu.pl/info/author/WULSbc0e2072e0cc427a9478ca52c536eb9d?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.098904761904762,NA,NA,23,0.9882409090909091,3.4782608695652173,6,119,29,FALSE,A
Sławomir Janakowski,dr inż.,adiunkt,Katedra Botaniki i Fizjologii Roslin,NA,0000-0002-6196-6752,NA,NA,NA,5,7,42.814,9.344,NA,16,WULSfd0438e338c34e3dbc4fe4db6de886e9,https://bw.sggw.edu.pl/info/author/WULSfd0438e338c34e3dbc4fe4db6de886e9?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.675875,NA,NA,19,2.107464705882353,9.473684210526315,9,267,76,FALSE,A
Maria Janicka,dr hab. inż.,adiunkt,Katedra Agronomii,NA,0000-0002-4417-5473,NA,NA,NA,5,6,32.388,10.955,NA,60,WULS5f582277739e4a87a285ce12fa630573,https://bw.sggw.edu.pl/info/author/WULS5f582277739e4a87a285ce12fa630573?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.5398,NA,NA,55,0.967175,3.8727272727272726,7,427,103,FALSE,A
Paweł Jankowski,dr,adiunkt,Katedra Systemów Informatycznych,NA,0000-0002-3176-8798,NA,NA,NA,11,11,72.555,24.453,NA,42,WULSe09cc37984484151998eb461423ae1a9,https://bw.sggw.edu.pl/info/author/WULSe09cc37984484151998eb461423ae1a9?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.7275000000000003,NA,NA,138,1.00733046875,11.05072463768116,18,1058,724,FALSE,A
Agata Jędrzejuk,dr hab.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0001-6258-0598,NA,NA,NA,12,12,73.928,26.213,NA,76,WULS2142a677ab9545b7bce43f8f9cbf8ead,https://bw.sggw.edu.pl/info/author/WULS2142a677ab9545b7bce43f8f9cbf8ead?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.9727368421052631,NA,NA,54,1.2563666666666666,3.6666666666666665,14,442,54,FALSE,A
Jerzy Jonczak,dr hab.,profesor uczelni,Katedra Gleboznawstwa,NA,0000-0002-9577-5292,NA,NA,NA,16,15,183.193,52.977,NA,151,WULSa41d7cc83cc44fe2b8bb154b6089f19a,https://bw.sggw.edu.pl/info/author/WULSa41d7cc83cc44fe2b8bb154b6089f19a?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.2131986754966888,NA,NA,2,0,18,0,0,34,FALSE,A
Ksenia Juszczak-Szelągowska,dr,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0001-8929-8883,NA,NA,NA,NA,1,3.3,1.27,NA,18,WULS854d1a8a5c474e718da6e2323d891959,https://bw.sggw.edu.pl/info/author/WULS854d1a8a5c474e718da6e2323d891959?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.18333333333333332,NA,NA,3,0.761,5,1,25,8,FALSE,A
Danuta Kaczorek,dr hab.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-7053-6084,NA,NA,NA,18,19,104.722,31.407,NA,37,WULS03d0d449a1564355be2b00355c9e963c,https://bw.sggw.edu.pl/info/author/WULS03d0d449a1564355be2b00355c9e963c?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.8303243243243243,NA,NA,54,4.103618,7.537037037037037,21,2149,204,TRUE,A
Filip Kamionowski,mgr inż.,asystent,Katedra Ochrony Środowiska i Dendrologii,NA,0009-0000-1728-4618,NA,NA,NA,2,2,9.5,0.884,NA,6,WULS6d14d2728bf4400e959193e9698bee77,https://bw.sggw.edu.pl/info/author/WULS6d14d2728bf4400e959193e9698bee77?lang=pl&r=publication&tab=main,sggw,Asystent,1.5833333333333333,NA,NA,8,2.39392,4.25,2,10,13,FALSE,A
Zbigniew Karaczun,dr hab. inż.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0001-6971-275X,NA,NA,NA,4,4,23.742,7.206,NA,92,WULSaecb2c76e1bd467e97ea9ceeeda5f0bd,https://bw.sggw.edu.pl/info/author/WULSaecb2c76e1bd467e97ea9ceeeda5f0bd?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.25806521739130434,NA,NA,68,0.7818062499999999,5.705882352941177,7,237,169,FALSE,A
Małgorzata Kiełkiewicz-Szaniawska,prof. dr hab.,profesor,Katedra Ochrony Roślin,NA,0000-0002-1170-9870,NA,NA,NA,8,9,35.498,18.106,NA,43,WULSa917582428b94d5a995586470d9da84f,https://bw.sggw.edu.pl/info/author/WULSa917582428b94d5a995586470d9da84f?lang=pl&r=publication&tab=main,sggw,Profesor,0.8255348837209302,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Marek Kondras,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-1987-7983,NA,NA,NA,7,7,38.414,11.649,NA,33,WULS4b7bab18e6564ae8baf03ab4d979ad6d,https://bw.sggw.edu.pl/info/author/WULS4b7bab18e6564ae8baf03ab4d979ad6d?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.164060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Olga Kosakowska,dr hab.,profesor uczelni,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0001-7376-3277,NA,NA,NA,16,18,107.508,24.562,NA,70,WULSa3412283e3e94cf6ae0930cd0070ffe9,https://bw.sggw.edu.pl/info/author/WULSa3412283e3e94cf6ae0930cd0070ffe9?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.5358285714285713,NA,NA,65,2.1358109375,5.323076923076923,19,1051,83,FALSE,A
Katarzyna Kowalczyk,dr hab. inż.,profesor uczelni,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0001-5282-7331,NA,NA,NA,12,12,84.583,36.927,NA,93,WULSccceba6db29f417193524413e7546bfe,https://bw.sggw.edu.pl/info/author/WULSccceba6db29f417193524413e7546bfe?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.9094946236559139,NA,NA,80,1.18582125,4.9625,14,619,92,FALSE,A
Wojciech Kowalczyk,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3671-9266,NA,NA,NA,2,4,15.826,5.453,NA,37,WULSb0875354e678475a850786b13535c5b5,https://bw.sggw.edu.pl/info/author/WULSb0875354e678475a850786b13535c5b5?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.4277297297297297,NA,NA,8,2.304675,4.25,4,93,14,FALSE,A
Edmund Kozieł,dr,adiunkt,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-6646-1254,NA,NA,NA,13,13,117.667,18.122,NA,32,WULS9aab55eb07c7443c883b67a669e311fb,https://bw.sggw.edu.pl/info/author/WULS9aab55eb07c7443c883b67a669e311fb?lang=pl&r=publication&tab=main,sggw,Adiunkt,3.67709375,NA,NA,35,4.040225,6.457142857142857,14,550,124,TRUE,A
Bogusława Kruczkowska,dr hab.,adiunkt,Katedra Gleboznawstwa,NA,0000-0003-0764-9884,NA,NA,NA,8,9,99.891,23.544,NA,39,WULSdf90d7b58cab49f1b18a6c9fe845dd9b,https://bw.sggw.edu.pl/info/author/WULSdf90d7b58cab49f1b18a6c9fe845dd9b?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.5613076923076923,NA,NA,63,3.037435185185185,8.841269841269842,9,304,104,TRUE,A
Tomasz Krupa,dr hab. inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-2252-250X,NA,NA,NA,12,11,81.805,26.706,NA,147,WULS4ebfaf0d6a6d4063980a80d2463656f1,https://bw.sggw.edu.pl/info/author/WULS4ebfaf0d6a6d4063980a80d2463656f1?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.5564965986394558,NA,NA,60,1.0779406779661016,3.033333333333333,13,692,68,FALSE,A
Natalia Kuźma,dr inż.,adiunkt,Katedra Ochrony Środowiska i Dendrologii,NA,NA,NA,NA,NA,2,2,20.363,1.8,NA,10,WULS74a9cc0470c742f8be109b73502c0e2b,https://bw.sggw.edu.pl/info/author/WULS74a9cc0470c742f8be109b73502c0e2b?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.0362999999999998,NA,NA,9,0.5806666666666667,4.111111111111111,2,22,18,FALSE,A
Wojciech Kwasowski,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0003-1448-2445,NA,NA,NA,11,12,61.852,21.309,NA,63,WULSc2ded684f2904da7ba9e49bb36851369,https://bw.sggw.edu.pl/info/author/WULSc2ded684f2904da7ba9e49bb36851369?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.9817777777777777,NA,NA,40,3.4526974999999998,4.2,11,447,74,TRUE,A
Piotr Latocha,prof. dr hab. inż.,profesor,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0002-6282-7340,NA,NA,NA,20,20,173.619,37.726,NA,225,WULS06b45116aede48e79f64236855d3ac96,https://bw.sggw.edu.pl/info/author/WULS06b45116aede48e79f64236855d3ac96?lang=pl&r=publication&tab=main,sggw,Profesor,0.77164,NA,NA,114,1.1441864864864866,2.973684210526316,19,1516,106,FALSE,A
Renata Leszczyńska,mgr inż.,asystent,Katedra Agronomii,NA,NA,NA,NA,NA,1,2,8.7,NA,NA,5,WULS4881e40b870247a88592ed8ca6bf04c9,https://bw.sggw.edu.pl/info/author/WULS4881e40b870247a88592ed8ca6bf04c9?lang=pl&r=publication&tab=main,sggw,Asystent,1.7399999999999998,NA,NA,6,0.65436,4,2,5,13,FALSE,A
Mariusz Lewandowski,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0001-5360-0382,NA,NA,NA,13,12,143.298,38.471,NA,100,WULSfd14c9eadfd34eff8b845519595e336e,https://bw.sggw.edu.pl/info/author/WULSfd14c9eadfd34eff8b845519595e336e?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.43298,NA,NA,132,0.914484509,4.325757575757576,16,671,176,FALSE,A
Barbara Łata,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0001-7128-7377,NA,NA,NA,14,12,63.781,26.16,NA,57,WULS0413359299e54c6c8dd5554d57a08407,https://bw.sggw.edu.pl/info/author/WULS0413359299e54c6c8dd5554d57a08407?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.1189649122807017,NA,NA,49,1.3517428571428571,3.7551020408163267,16,1268,96,FALSE,A
Maria Małachowska,mgr inż.,asystent,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3341-8601,NA,NA,NA,6,6,27.874,7.155,NA,9,WULSae3b3074473d45d685aaff9ab389f6bc,https://bw.sggw.edu.pl/info/author/WULSae3b3074473d45d685aaff9ab389f6bc?lang=pl&r=publication&tab=main,sggw,Asystent,3.097111111111111,NA,NA,9,2.4149555555555557,4.444444444444445,6,89,11,FALSE,A
Przemysław Marciniak,dr inż.,adiunkt,Instytut Nauk Ogrodniczych,NA,0000-0002-4641-4095,NA,NA,NA,NA,4,24.383,2.741,NA,9,WULS18e61211d7844d7db06af5e5ff72b26c,https://bw.sggw.edu.pl/info/author/WULS18e61211d7844d7db06af5e5ff72b26c?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.709222222222222,NA,NA,11,1.6896090909090908,3.8181818181818183,5,80,20,FALSE,A
Grażyna Mastalerczuk,dr inż.,adiunkt,Katedra Agronomii,NA,0000-0002-8267-5460,NA,NA,NA,9,10,48.441,14.722,NA,49,WULS5c3477a0411347578f602abf91bb8651,https://bw.sggw.edu.pl/info/author/WULS5c3477a0411347578f602abf91bb8651?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.988591836734694,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Katarzyna Michalska,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0002-5136-7836,NA,NA,NA,5,6,42.816,10.162,NA,26,WULSe63ec1d0dec44fcab8af6120fc8d36c7,https://bw.sggw.edu.pl/info/author/WULSe63ec1d0dec44fcab8af6120fc8d36c7?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.6467692307692308,NA,NA,33,1.7749870967741934,3.3333333333333335,9,307,39,FALSE,A
Beata Michalska-Klimczak,dr,adiunkt,Katedra Agronomii,NA,0000-0003-4992-4477,NA,NA,NA,4,5,30.052,8.514,NA,153,WULS9a9ab68e34314e03a4f5bef70fe492ba,https://bw.sggw.edu.pl/info/author/WULS9a9ab68e34314e03a4f5bef70fe492ba?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.19641830065359478,NA,NA,29,0.563148275862069,2.8620689655172415,5,93,21,FALSE,A
Małgorzata Mirgos,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-2940-7771,NA,NA,NA,7,7,47.235,12.984,NA,35,WULSe6b3845fee244fe7a0301c5cafe7ac59,https://bw.sggw.edu.pl/info/author/WULSe6b3845fee244fe7a0301c5cafe7ac59?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.3495714285714286,NA,NA,18,1.7803722222222222,7.777777777777778,8,198,43,FALSE,A
Ewa Mirzwa-Mróz,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0003-0537-0783,NA,NA,NA,6,6,57.75,13.221,NA,56,WULSc03e55d80e4343d69163a3b587bc3b41,https://bw.sggw.edu.pl/info/author/WULSc03e55d80e4343d69163a3b587bc3b41?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,1.03125,NA,NA,49,0.4755382978723404,5.040816326530612,8,158,80,FALSE,A
Marta Monder,dr hab. inż.,profesor uczelni,Instytut Nauk Ogrodniczych,NA,0000-0003-4775-5980,NA,NA,NA,3,3,25,3.57,NA,8,WULS51a9ffbeb16d4626b8485263456698ce,https://bw.sggw.edu.pl/info/author/WULS51a9ffbeb16d4626b8485263456698ce?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,3.125,NA,NA,80,0.5744710526315789,1.6625,8,220,16,FALSE,A
Hanna Moniuszko,dr,adiunkt,Centrum Badań Klimatu SGGW,NA,0000-0002-8711-2309,NA,NA,NA,10,10,106.418,12.651,NA,38,WULS26857880579146908cdd9f2ad46fd970,https://bw.sggw.edu.pl/info/author/WULS26857880579146908cdd9f2ad46fd970?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.8004736842105267,NA,NA,41,2.447728205128205,5.951219512195122,10,329,102,FALSE,A
Adam Nawrocki,mgr inż.,asystent,Katedra Biometrii,NA,0000-0003-4419-4479,NA,NA,NA,3,3,21.4,1.682,NA,5,WULS833a138a947a48058afdb43cf73f5e6f,https://bw.sggw.edu.pl/info/author/WULS833a138a947a48058afdb43cf73f5e6f?lang=pl&r=publication&tab=main,sggw,Asystent,4.279999999999999,NA,NA,17,3.90281,5.176470588235294,4,150,32,TRUE,A
Tomasz Niedziński,dr inż.,adiunkt,Instytut Rolnictwa,NA,NA,NA,NA,NA,2,5,34.834,2.974,NA,12,WULS919979567147419896830ce5c6ea6171,https://bw.sggw.edu.pl/info/author/WULS919979567147419896830ce5c6ea6171?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.9028333333333336,NA,NA,11,4.2247900000000005,7.545454545454546,6,84,51,TRUE,A
Kinga Noras,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-5493-2650,NA,NA,NA,4,5,16.737,5.484,NA,14,WULSbd9c97f08f524ace8c750f1e33470f4d,https://bw.sggw.edu.pl/info/author/WULSbd9c97f08f524ace8c750f1e33470f4d?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.1954999999999998,NA,NA,6,1.5794333333333332,5.166666666666667,4,73,18,FALSE,A
Małgorzata Nykiel,dr inż.,adiunkt,Katedra Biochemii i Mikrobiologii,NA,0000-0003-0688-1964,NA,NA,NA,13,11,81.418,16.116,NA,32,WULSb2c92cc69de74f0a92647afaf95bbf44,https://bw.sggw.edu.pl/info/author/WULSb2c92cc69de74f0a92647afaf95bbf44?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.5443125,NA,NA,25,4.495116,5.4,12,507,39,TRUE,A
Lidia Oktaba,dr inż.,adiunkt,Katedra Gleboznawstwa,NA,0000-0002-4937-9299,NA,NA,NA,9,10,58.312,19.753,NA,41,WULS50a5716e45e047e5b9fe83ceea9bdf00,https://bw.sggw.edu.pl/info/author/WULS50a5716e45e047e5b9fe83ceea9bdf00?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.4222439024390243,NA,NA,32,1.8491413793103448,10.875,10,464,206,FALSE,A
Dawid Olewnicki,dr hab. inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3096-3882,NA,NA,NA,6,4,28.791,3.047,NA,94,WULSd22895bd09124ce38fc5c71a69e78567,https://bw.sggw.edu.pl/info/author/WULSd22895bd09124ce38fc5c71a69e78567?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.3062872340425532,NA,NA,89,0.7579966407954546,3.2247191011235956,7,229,75,FALSE,A
Marcin Ollik,dr,adiunkt,Katedra Biometrii,NA,0000-0001-8861-803X,NA,NA,NA,8,7,50.162,15.891,NA,28,WULS938a08fde23e421899eb8e8b1fb22af6,https://bw.sggw.edu.pl/info/author/WULS938a08fde23e421899eb8e8b1fb22af6?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.7914999999999999,NA,NA,26,2.064223076923077,4,8,529,46,FALSE,A
Sławomir Orzechowski,dr hab. inż.,adiunkt,Katedra Biochemii i Mikrobiologii,Wydział Rolnictwa studia doktoranckie: 1996-2000 specjalizacja Agrobiologia przy Wydziale Rolnictwa SGGW stopień doktora 08.03.2000 Doktor Nauk Bio,0000-0002-3370-6910,NA,NA,NA,15,15,92.68,22.581,NA,42,WULScf67ac73ae79450d9beeb73cf0ac217f,https://bw.sggw.edu.pl/info/author/WULScf67ac73ae79450d9beeb73cf0ac217f?lang=pl&r=publication&tab=main,sggw,Adiunkt,2.206666666666667,NA,NA,41,3.2067325,4.317073170731708,16,820,83,TRUE,A
Aleksandra Orzeszko-Rywka,dr inż.,asystent,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-5968-023X,NA,NA,NA,5,4,5.33,2.281,NA,40,WULS5461e163bf424cca8173f50e081c643c,https://bw.sggw.edu.pl/info/author/WULS5461e163bf424cca8173f50e081c643c?lang=pl&r=publication&tab=main,sggw,Asystent,0.13325,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Andrzej Pacholczak,dr hab.,profesor uczelni,Instytut Nauk Ogrodniczych,NA,0000-0001-5830-1859,NA,NA,NA,10,13,63.969,23.149,NA,136,WULSb410ecc41e3b4e77bf7e08b70b8b2cdc,https://bw.sggw.edu.pl/info/author/WULSb410ecc41e3b4e77bf7e08b70b8b2cdc?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.47036029411764707,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Jakub Paderewski,dr hab.,adiunkt,Katedra Biometrii,NA,0000-0003-3957-7467,NA,NA,NA,10,8,70.261,29.381,NA,53,WULS16af177a9a074e60840ffff3c2c7ec02,https://bw.sggw.edu.pl/info/author/WULS16af177a9a074e60840ffff3c2c7ec02?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.3256792452830188,NA,NA,43,1.2245255813953488,4.023255813953488,10,297,73,FALSE,A
